court_d,prep_h,charge
1,160,Weapons
1,175,Weapons
1,180,Attempt Murder
1,190,Sexual Assault
1,191,Sexual Assault
1,192,Attempt Murder
1,193,Attempt Murder
1,203,Attempt Murder
2,150,Attempt Murder
2,175,Attempt Murder
2,180,Attempt Murder
2,200,Sexual Assault
2,204,Sexual Assault
2,205,Sexual Assault
2,206,Sexual Assault
2,207,Sexual Assault
2,215,Attempt Murder
2,225,Sexual Assault
2,225,Attempt Murder
2,244,Attempt Murder
2,264,Attempt Murder
2,265,Weapons
2,266,Weapons
3,150,Weapons
3,160,Sexual Assault
3,175,Weapons
3,200,Weapons
3,208,Sexual Assault
3,209,Sexual Assault
3,210,Sexual Assault
3,220,Sexual Assault
3,233,Sexual Assault
3,234,Sexual Assault
3,235,Sexual Assault
3,267,Sexual Assault
3,268,Attempt Murder
4,200,Attempt Murder
4,222.85,Attempt Murder
4,228,Sexual Assault
4,235,Attempt Murder
4,236,Sexual Assault
4,237,Attempt Murder
4,240,Attempt Murder
4,250,Sexual Assault
4,258,Attempt Murder
4,269,Sexual Assault
5,185,Sexual Assault
5,200,Sexual Assault
5,200,Attempt Murder
5,209,Sexual Assault
5,211,Sexual Assault
5,212,Sexual Assault
5,215,Sexual Assault
5,217,Sexual Assault
5,220,Weapons
5,225,Attempt Murder
5,225,Sexual Assault
5,225,Attempt Murder
5,235,Sexual Assault
5,238,Attempt Murder
5,239,Attempt Murder
5,240,Attempt Murder
5,241,Sexual Assault
5,242,Attempt Murder
5,245,Weapons
5,250,Attempt Murder
5,250,Attempt Murder
5,250,Sexual Assault
5,252,Attempt Murder
5,260,Weapons
5,264,Weapons
5,286,Sexual Assault
5,295,Attempt Murder
5,300,Weapons
5,307,Weapons
6,175,Sexual Assault
6,180,Weapons
6,200,Attempt Murder
6,205,Weapons
6,208,Weapons
6,225,Attempt Murder
6,250,Attempt Murder
6,257,Sexual Assault
6,272,Sexual Assault
6,280,Weapons
6,283,Weapons
6,289,Weapons
7,184,Weapons
7,190,Sexual Assault
7,206,Sexual Assault
7,209,Sexual Assault
7,210,Sexual Assault
7,210,Sexual Assault
7,212,Sexual Assault
7,213,Sexual Assault
7,214,Sexual Assault
7,215,Sexual Assault
7,220,Sexual Assault
7,220,Sexual Assault
7,225,Sexual Assault
7,244,Sexual Assault
7,250,Sexual Assault
7,250,Weapons
7,270,Attempt Murder
7,275,Attempt Murder
7,275,Attempt Murder
7,280,Weapons
7,280,Attempt Murder
7,281,Attempt Murder
7,285,Attempt Murder
7,290,Sexual Assault
7,300,Sexual Assault
7,308,Sexual Assault
8,209,Sexual Assault
8,210,Sexual Assault
8,225,Attempt Murder
8,230,Weapons
8,234.3,Sexual Assault
8,238.38,Attempt Murder
8,249,Sexual Assault
8,250,Attempt Murder
8,275,Sexual Assault
8,288,Sexual Assault
8,300,Attempt Murder
8,310,Sexual Assault
8,312,Weapons
8,325,Attempt Murder
9,200,Sexual Assault
9,211,Weapons
9,235,Weapons
9,236,Sexual Assault
9,240,Sexual Assault
9,240,Attempt Murder
9,250,Sexual Assault
9,250,Attempt Murder
9,306,Sexual Assault
10,170,Weapons
10,180,Attempt Murder
10,185,Sexual Assault
10,200,Attempt Murder
10,200,Sexual Assault
10,200,Sexual Assault
10,200,Weapons
10,210,Weapons
10,210,Attempt Murder
10,210,Sexual Assault
10,220,Sexual Assault
10,225,Weapons
10,225,Weapons
10,230,Sexual Assault
10,230,Weapons
10,250,Sexual Assault
10,250,Weapons
10,275,Sexual Assault
10,300,Sexual Assault
10,300,Weapons
10,304,Sexual Assault
10,311,Weapons
10,350,Weapons
10,362,Attempt Murder
11,200,Attempt Murder
11,215,Sexual Assault
11,221,Sexual Assault
11,225,Attempt Murder
11,250,Attempt Murder
11,260,Attempt Murder
11,263,Sexual Assault
11,275,Attempt Murder
11,275,Sexual Assault
11,286,Attempt Murder
11,294,Attempt Murder
12,200,Attempt Murder
12,220,Attempt Murder
12,220,Weapons
12,220,Sexual Assault
12,225,Sexual Assault
12,230,Sexual Assault
12,240,Sexual Assault
12,243,Sexual Assault
12,245,Sexual Assault
12,262,Attempt Murder
12,274,Attempt Murder
12,275,Attempt Murder
12,275,Attempt Murder
12,280,Weapons
12,286,Attempt Murder
12,290,Sexual Assault
12,292,Weapons
12,339.35,Weapons
13,220,Weapons
13,220,Sexual Assault
13,235,Weapons
13,257,Weapons
13,275,Weapons
13,280,Weapons
13,286,Attempt Murder
13,288,Weapons
13,305,Weapons
13,328,Weapons
13,375,Attempt Murder
14,225,Sexual Assault
14,225,Weapons
14,230,Weapons
14,235,Sexual Assault
14,256,Weapons
14,259,Weapons
14,262,Sexual Assault
14,264,Sexual Assault
14,265,Attempt Murder
14,282,Weapons
14,314,Sexual Assault
15,200,Sexual Assault
15,225,Sexual Assault
15,230,Weapons
15,235.8,Sexual Assault
15,245,Sexual Assault
15,250,Sexual Assault
15,250,Attempt Murder
15,255,Sexual Assault
15,256,Attempt Murder
15,257,Sexual Assault
15,263,Sexual Assault
15,264,Attempt Murder
15,265,Attempt Murder
15,266,Sexual Assault
15,270,Attempt Murder
15,273,Sexual Assault
15,275,Attempt Murder
15,275,Sexual Assault
15,280,Sexual Assault
15,285,Sexual Assault
15,288,Weapons
15,290,Weapons
15,300,Weapons
15,300,Weapons
15,301,Attempt Murder
15,305,Sexual Assault
15,310,Weapons
15,313,Attempt Murder
15,315,Weapons
15,325,Attempt Murder
15,325,Weapons
15,329,Sexual Assault
15,340,Attempt Murder
15,340,Weapons
15,340,Sexual Assault
15,362,Attempt Murder
15,370,Weapons
16,220,Sexual Assault
16,225,Weapons
16,246,Weapons
16,250,Sexual Assault
16,252,Weapons
16,264,Weapons
16,270,Weapons
16,275,Sexual Assault
16,294,Weapons
16,310,Weapons
17,245,Attempt Murder
17,347,Weapons
17,250,Weapons
17,366,Attempt Murder
17,260,Weapons
17,265,Weapons
17,265,Weapons
17,275,Attempt Murder
17,275,Weapons
17,283,Weapons
17,290,Sexual Assault
17,315,Weapons
18,225,Attempt Murder
18,240,Sexual Assault
18,245,Attempt Murder
18,245,Sexual Assault
18,250,Attempt Murder
18,265,Sexual Assault
18,270,Sexual Assault
18,275,Attempt Murder
18,284,Attempt Murder
18,288,Weapons
18,310,Sexual Assault
18,292,Sexual Assault
18,345,Sexual Assault
19,350,Sexual Assault
19,360,Sexual Assault
19,311,Attempt Murder
19,310,Attempt Murder
19,320,Weapons
19,338,Attempt Murder
19,270,Weapons
19,330,Sexual Assault
19,268,Weapons
19,360,Weapons
20,280,Weapons
20,295,Attempt Murder
20,296,Weapons
20,315,Attempt Murder
20,315,Sexual Assault
20,319,Weapons
20,320,Attempt Murder
20,325,Weapons
20,329,Attempt Murder
20,280,Attempt Murder
20,332,Sexual Assault
20,270,Weapons
20,260,Sexual Assault
20,370,Weapons
20,379,Weapons
20,381,Sexual Assault
20,381,Weapons
20,405,Attempt Murder
20,406,Attempt Murder
20,408,Attempt Murder
21,295,Weapons
21,300,Attempt Murder
21,330,Weapons
21,331,Weapons
21,334,Attempt Murder
21,350,Attempt Murder
21,420,Sexual Assault
22,310,Weapons
22,285,Attempt Murder
22,320,Weapons
22,280,Attempt Murder
22,337,Sexual Assault
22,290,Sexual Assault
22,275,Attempt Murder
22,355,Sexual Assault
22,274,Weapons
22,360,Weapons
22,360,Attempt Murder
23,321,Attempt Murder
23,290,Attempt Murder
23,328,Weapons
23,295,Sexual Assault
23,280,Attempt Murder
23,364,Sexual Assault
23,383.5,Sexual Assault
23,400,Sexual Assault
24,316,Attempt Murder
24,320,Weapons
24,333,Attempt Murder
24,360,Sexual Assault
24,365,Weapons
24,383.5,Weapons
24,426,Attempt Murder
25,284,Sexual Assault
25,285,Attempt Murder
25,300,Sexual Assault
25,325,Weapons
25,331,Weapons
25,336,Weapons
25,343,Weapons
25,350,Weapons
25,350,Sexual Assault
25,356,Weapons
25,360,Weapons
25,365,Sexual Assault
25,380,Weapons
25,382,Sexual Assault
25,385,Sexual Assault
25,387,Weapons
25,393,Weapons
25,394,Attempt Murder
25,420,Sexual Assault
25,421.15,Weapons
26,307,Sexual Assault
26,325,Weapons
26,326,Weapons
26,330,Weapons
26,331,Weapons
26,335,Weapons
26,338,Attempt Murder
26,339,Attempt Murder
26,340,Attempt Murder
26,368,Attempt Murder
26,379,Weapons
26,410,Attempt Murder
26,420,Attempt Murder
26,425,Weapons
27,302,Weapons
27,315,Weapons
27,316,Attempt Murder
27,323,Attempt Murder
27,342,Weapons
27,343,Weapons
27,370,Attempt Murder
27,371,Attempt Murder
27,372,Sexual Assault
27,377,Attempt Murder
27,379,Attempt Murder
27,439,Sexual Assault
28,293,Sexual Assault
28,295,Sexual Assault
28,295,Weapons
28,308,Sexual Assault
28,317,Weapons
28,318,Sexual Assault
28,320,Sexual Assault
28,344,Sexual Assault
28,350,Weapons
28,352,Weapons
28,367,Weapons
28,373,Weapons
28,380,Sexual Assault
28,391,Sexual Assault
29,291,Weapons
29,298,Attempt Murder
29,303,Sexual Assault
29,327,Sexual Assault
29,340,Weapons
29,350,Attempt Murder
29,351,Sexual Assault
29,352,Weapons
29,368,Attempt Murder
29,374,Attempt Murder
29,390,Weapons
29,390,Attempt Murder
29,420,Weapons
30,296,Sexual Assault
30,300,Sexual Assault
30,304,Weapons
30,319,Attempt Murder
30,320,Attempt Murder
30,326,Weapons
30,327,Sexual Assault
30,328,Weapons
30,338,Sexual Assault
30,340,Attempt Murder
30,350,Weapons
30,350,Attempt Murder
30,352,Attempt Murder
30,354,Weapons
30,355,Sexual Assault
30,358,Attempt Murder
30,363,Attempt Murder
30,366,Weapons
30,388,Weapons
30,390,Weapons
30,395,Attempt Murder
30,408,Weapons
30,441,Weapons
31,321,Attempt Murder
31,337,Weapons
31,356,Weapons
31,440,Weapons
32,310,Weapons
32,313,Weapons
32,355,Weapons
32,356,Weapons
32,365,Weapons
32,370,Weapons
32,380,Weapons
32,414,Weapons
33,305,Sexual Assault
33,309,Sexual Assault
33,319,Weapons
33,325,Sexual Assault
33,352,Weapons
33,355,Sexual Assault
33,359,Weapons
33,365,Sexual Assault
33,382,Sexual Assault
33,414,Weapons
33,416,Sexual Assault
34,295,Attempt Murder
34,307,Attempt Murder
34,316,Attempt Murder
34,420,Attempt Murder
35,296,Attempt Murder
35,310,Sexual Assault
35,337,Weapons
35,338,Attempt Murder
35,341,Sexual Assault
35,342,Weapons
35,351,Weapons
35,369,Sexual Assault
35,384,Weapons
36,297,Attempt Murder
36,360,Weapons
36,370,Weapons
36,375,Sexual Assault
36,375,Sexual Assault
36,430,Weapons
37,440,Weapons
37,410,Weapons
37,405,Weapons
37,410,Weapons
37,415,Sexual Assault
38,321,Weapons
38,347,Weapons
38,371,Sexual Assault
38,377,Sexual Assault
38,391,Attempt Murder
38,393,Sexual Assault
39,332,Attempt Murder
39,347,Attempt Murder
39,360,Attempt Murder
39,361,Attempt Murder
39,372,Attempt Murder
39,426,Attempt Murder
40,304,Attempt Murder
40,310,Weapons
40,339,Weapons
40,342,Weapons
40,348,Attempt Murder
40,360,Weapons
40,366,Attempt Murder
40,372,Attempt Murder
40,385,Weapons
40,390,Weapons
40,390,Attempt Murder
40,393,Weapons
40,399,Weapons
40,400,Weapons
40,406,Attempt Murder
40,407,Attempt Murder
40,408,Attempt Murder
40,445,Attempt Murder
40,448,Attempt Murder
41,318,Attempt Murder
41,373,Attempt Murder
41,381,Attempt Murder
41,456,Attempt Murder
42,333,Attempt Murder
42,334,Attempt Murder
42,335,Sexual Assault
42,367,Sexual Assault
42,385,Sexual Assault
42,450,Sexual Assault
43,332,Sexual Assault
43,386,Sexual Assault
43,391,Sexual Assault
44,363,Sexual Assault
44,369,Attempt Murder
44,392,Attempt Murder
45,320,Sexual Assault
45,360,Sexual Assault
45,371,Sexual Assault
45,374,Sexual Assault
45,375,Sexual Assault
45,383,Attempt Murder
45,389,Attempt Murder
45,409,Attempt Murder
45,414,Attempt Murder
45,424,Sexual Assault
45,434,Sexual Assault
45,437,Sexual Assault
45,441,Sexual Assault
45,443,Sexual Assault
45,456,Attempt Murder
46,302,Weapons
46,322,Weapons
46,415,Sexual Assault
46,420,Sexual Assault
46,420,Sexual Assault
46,425,Attempt Murder
46,432,Attempt Murder
46,461,Sexual Assault
47,303,Attempt Murder
47,305,Attempt Murder
47,411,Sexual Assault
47,413,Sexual Assault
47,414,Sexual Assault
47,440,Sexual Assault
48,321,Attempt Murder
48,412,Weapons
48,420,Sexual Assault
50,319,Sexual Assault
50,393,Sexual Assault
50,435,Sexual Assault
50,435,Sexual Assault
50,435,Sexual Assault
50,440,Attempt Murder
50,445,Weapons
50,448,Weapons
50,448,Sexual Assault
50,455,Weapons
55,340,Sexual Assault
55,343,Sexual Assault
55,455,Sexual Assault
60,401,Sexual Assault
60,402,Sexual Assault
1,120,Murder
2,120,Murder
6,136,Murder
1,150,Murder
2,150,Murder
7,152,Murder
3,165,Murder
1,168,Murder
2,170,Murder
1,175,Murder
1,180,Murder
4,180,Murder
7,199,Murder
2,200,Murder
9,201,Murder
5,210,Murder
1,215,Murder
1,224,Murder
3,224,Murder
3,225,Murder
1,226,Murder
2,226,Murder
4,238,Murder
13,238,Murder
2,239,Murder
5,239,Murder
3,240,Murder
12,250,Murder
5,253,Murder
8,258,Murder
4,259,Murder
14,260,Murder
2,261,Murder
6,261,Murder
2,262,Murder
2,263,Murder
7,264,Murder
16,265,Murder
18,268,Murder
8,269,Murder
4,270,Murder
4,270,Murder
4,275,Murder
8,275,Murder
14,275,Murder
16,280,Murder
18,280,Murder
6,281,Murder
7,281,Murder
19,281,Murder
4,282,Murder
8,282,Murder
14,282,Murder
12,283,Murder
12,283,Murder
2,284,Murder
6,284,Murder
13,285,Murder
6,286,Murder
7,286,Murder
16,286,Murder
5,287,Murder
17,287,Murder
18,289,Murder
16,290,Murder
27,294,Murder
21,295,Murder
11,296,Murder
17,297,Murder
5,298,Murder
4,299,Murder
27,300,Murder
5,301,Murder
6,301,Murder
21,301,Murder
14,302,Murder
15,302,Murder
31,302,Murder
4,303,Murder
7,303,Murder
9,303,Murder
10,304,Murder
17,304,Murder
22,304,Murder
7,305,Murder
18,305,Murder
5,306,Murder
9,307,Murder
8,308,Murder
22,308,Murder
5,309,Murder
15,309,Murder
6,310,Murder
19,313,Murder
17,314,Murder
17,315,Murder
32,315,Murder
5,316,Murder
8,316,Murder
19,316,Murder
5,317,Murder
11,317,Murder
20,317,Murder
28,317,Murder
32,317,Murder
6,318,Murder
8,318,Murder
9,318,Murder
15,318,Murder
28,318,Murder
28,318,Murder
4,319,Murder
5,319,Murder
15,319,Murder
26,319,Murder
4,320,Murder
5,320,Murder
6,320,Murder
7,320,Murder
8,320,Murder
13,320,Murder
14,320,Murder
24,320,Murder
7,321,Murder
12,321,Murder
26,321,Murder
32,321,Murder
23,322,Murder
6,323,Murder
12,325,Murder
9,330,Murder
9,331,Murder
10,331,Murder
26,333,Murder
34,333,Murder
35,333,Murder
9,334,Murder
14,334,Murder
6,335,Murder
26,335,Murder
11,336,Murder
11,336,Murder
16,336,Murder
32,336,Murder
34,336,Murder
35,336,Murder
6,337,Murder
6,337,Murder
10,337,Murder
14,337,Murder
14,337,Murder
18,337,Murder
23,337,Murder
8,338,Murder
9,338,Murder
10,338,Murder
12,338,Murder
25,338,Murder
39,338,Murder
40,338,Murder
10,339,Murder
12,339,Murder
15,340,Murder
23,340,Murder
11,341,Murder
6,342,Murder
16,347,Murder
6,348,Murder
28,348,Murder
41,348,Murder
7,350,Murder
7,350,Murder
10,350,Murder
10,350,Murder
11,350,Murder
12,350,Murder
13,350,Murder
14,350,Murder
16,350,Murder
19,350,Murder
23,350,Murder
26,350,Murder
33,350,Murder
33,350,Murder
36,350,Murder
37,350,Murder
39,350,Murder
16,351,Murder
18,351,Murder
33,351,Murder
16,352,Murder
19,352,Murder
33,352,Murder
8,353,Murder
23,353,Murder
34,353,Murder
11,354,Murder
18,354,Murder
33,354,Murder
10,355,Murder
12,355,Murder
44,355,Murder
10,356,Murder
19,356,Murder
28,356,Murder
33,356,Murder
7,361,Murder
28,361,Murder
33,361,Murder
43,361,Murder
13,362,Murder
13,362,Murder
14,362,Murder
15,362,Murder
21,362,Murder
26,362,Murder
33,362,Murder
8,363,Murder
18,363,Murder
27,363,Murder
41,363,Murder
46,364,Murder
13,365,Murder
28,365,Murder
9,366,Murder
18,366,Murder
20,366,Murder
32,366,Murder
15,367,Murder
18,367,Murder
20,367,Murder
42,367,Murder
8,368,Murder
40,368,Murder
42,368,Murder
43,368,Murder
10,369,Murder
22,369,Murder
34,369,Murder
20,370,Murder
28,370,Murder
40,370,Murder
48,370,Murder
11,371,Murder
25,371,Murder
33,371,Murder
40,371,Murder
22,372,Murder
27,372,Murder
35,372,Murder
35,372,Murder
32,373,Murder
25,374,Murder
32,375,Murder
9,378,Murder
21,378,Murder
10,379,Murder
31,379,Murder
40,379,Murder
47,379,Murder
17,380,Murder
24,380,Murder
28,380,Murder
30,380,Murder
31,380,Murder
13,381,Murder
31,381,Murder
23,382,Murder
49,382,Murder
14,383,Murder
15,383,Murder
36,383,Murder
46,383,Murder
49,383,Murder
10,384,Murder
12,384,Murder
16,384,Murder
27,384,Murder
16,385,Murder
21,385,Murder
22,385,Murder
26,385,Murder
36,385,Murder
36,385,Murder
11,386,Murder
23,386,Murder
40,386,Murder
42,386,Murder
12,387,Murder
18,387,Murder
19,387,Murder
52,387,Murder
54,387,Murder
14,388,Murder
17,388,Murder
29,388,Murder
30,388,Murder
25,393,Murder
31,393,Murder
45,393,Murder
16,394,Murder
26,394,Murder
51,394,Murder
56,394,Murder
13,395,Murder
34,395,Murder
46,395,Murder
52,395,Murder
11,396,Murder
13,396,Murder
19,396,Murder
49,396,Murder
12,397,Murder
12,397,Murder
25,397,Murder
50,397,Murder
12,400,Murder
28,400,Murder
19,405,Murder
34,405,Murder
46,405,Murder
48,405,Murder
36,406,Murder
13,407,Murder
27,407,Murder
15,408,Murder
17,408,Murder
21,408,Murder
22,408,Murder
23,408,Murder
27,408,Murder
34,408,Murder
17,409,Murder
21,409,Murder
28,409,Murder
35,409,Murder
41,409,Murder
44,409,Murder
47,409,Murder
12,410,Murder
15,410,Murder
16,410,Murder
17,410,Murder
20,410,Murder
24,410,Murder
31,410,Murder
33,410,Murder
37,410,Murder
44,410,Murder
56,410,Murder
26,411,Murder
35,411,Murder
48,411,Murder
25,412,Murder
29,412,Murder
22,413,Murder
60,413,Murder
13,415,Murder
16,415,Murder
28,415,Murder
